Feature,Category,Group,Decay_Multiplier,Decay_Score,Historical_IC,Recent_IC,Historical_ICIR,Recent_ICIR
Gap,Unknown,Unknown,1.0,,-0.0011129753051340237,0.03730431848852902,-0.004924413075658525,0.24269824073630872
Momentum_Vol,Unknown,Unknown,1.0,,-0.0018175848368082875,0.0568927125506073,-0.007797106114850183,0.36182964380127597
Momentum_Vol_Z,Unknown,Unknown,1.0,,-0.0018306663582784582,0.0568927125506073,-0.007853312299832656,0.36182964380127597
Gap_Z,Unknown,Unknown,1.0,,-0.0011639103325523461,0.039416329284750334,-0.005151374706767384,0.2544958170960461
Volume_Change_Z,Unknown,Unknown,1.0,,-0.0017640474390695786,0.015094466936572204,-0.00814249439687609,0.09191406053777815
Volume_Change,Unknown,Unknown,1.0,,-0.0018190579954569365,0.015094466936572204,-0.008396645093673157,0.09191406053777815
Return_Lag3,Unknown,Unknown,1.0,,-0.0017646110966146656,0.004300019522167479,-0.007583097003647424,0.022150818988220865
Range_Position,Unknown,Unknown,1.0,,-0.0025031322412733354,0.07490553306342781,-0.010792576309249976,0.4519866770859418
Range_Position_Z,Unknown,Unknown,1.0,,-0.002508551987455117,0.07490553306342781,-0.010816336893915209,0.4519866770859418
Return_Lag2,Unknown,Unknown,1.0,,-0.00471854904015003,0.02398469967844188,-0.02029082958060573,0.12257838781007199
Momentum_Rank,Unknown,Unknown,1.0,,-0.005343085392558057,0.03318151147098516,-0.02175596978539635,0.18845533481448096
Volume_MA,Unknown,Unknown,1.0,,-0.004817733331504151,-0.05429824561403509,-0.020190304108588276,-0.3588280051252018
Momentum,Momentum,Momentum,1.0,,-0.005702690731627567,0.041713900134952776,-0.02266298926395278,0.21388717408875182
Price_to_MA20,Unknown,Unknown,1.0,,-0.005835823745159941,0.06066801619433199,-0.02357103569923097,0.31339776775403305
Trend_Z,Unknown,Unknown,1.0,,-0.006791539898558971,-0.02310415075120957,-0.02874853916152181,-0.12201910595858619
Vol_Z,Unknown,Unknown,1.0,,-0.007810635018838374,0.008412493288654281,-0.035244577097280294,0.04558347975879639
BB_Z20,Unknown,Unknown,1.0,,-0.009265708606762933,0.0532557354925776,-0.039453268317448865,0.33084800855898144
MACD_Hist,Unknown,Unknown,1.0,,-0.008831690107286268,0.016005398110661276,-0.038632674163828054,0.0914413820110229
MACD_Hist_Z,Unknown,Unknown,1.0,,-0.008845355980984546,0.016005398110661276,-0.038694703623741125,0.0914413820110229
Price_to_MA10,Unknown,Unknown,1.0,,-0.009533147670969863,0.03375843454790824,-0.03988134691661047,0.18379196503784845
BB_Z10,Unknown,Unknown,1.0,,-0.011298938954910912,0.034008097165991916,-0.04971634599726306,0.21176508347384543
Regime_Score,Unknown,Unknown,1.0,,-0.013510283202850939,0.0009974216959511165,-0.057474670736967104,0.004634934942463674
Log_Return,Price,Returns,1.0,,-0.015129290322449388,-0.005149968383411784,-0.06471387119828104,-0.02617992777873854
Return,Price,Returns,1.0,,-0.015129290322449388,-0.005149968383411784,-0.06471387119828104,-0.02617992777873854
Return_Lag1,Unknown,Unknown,1.0,,-0.015129290322449388,-0.005149968383411784,-0.06471387119828104,-0.02617992777873854
Return_Z,Unknown,Unknown,1.0,,-0.015147658913591863,-0.005149968383411784,-0.06480143862454799,-0.02617992777873854
Return_Rank,Unknown,Unknown,1.0,,-0.015154481984755951,-0.005149968383411784,-0.06483336239232994,-0.02617992777873854
Vol_Regime,Unknown,Unknown,1.0,,-0.022471324528750194,-0.020019631484638437,-0.08860832733453687,-0.11559958252967303
Momentum_Z,Unknown,Unknown,1.0,,-0.023131093147436253,0.027892740539799357,-0.09713613222255231,0.12146793725135682
Volatility_Z,Unknown,Unknown,1.0,,-0.027571935415578668,-0.0062618083670715205,-0.10239601469095572,-0.03176911268051397
Volatility_Rank,Unknown,Unknown,1.0,,-0.02757337665548678,-0.0062618083670715205,-0.10240112978705825,-0.03176911268051397
PE_Rank,Unknown,Unknown,1.0,,-0.02586684479347371,0.13608778115743717,-0.10894827050614316,0.9381534262644733
PE_Z,Unknown,Unknown,1.0,,-0.027630497988995553,0.13560508067362145,-0.116954359423691,0.9341396748736999
Volatility,Volatility,Risk,1.0,,-0.03228195336775988,0.0031815114709851534,-0.11556150536195497,0.015983217313004772
PE,Value,Fundamental,1.0,,-0.02882995520588383,0.13655360400195857,-0.12255258813908691,0.9474100387136585
PE_Change,Unknown,Unknown,1.0,,-0.02929491814642501,-0.022865825887598175,-0.1275651411499869,-0.1136479130499752
EPS_Growth,Unknown,Unknown,1.0,,,,,
EPS_Growth_Z,Unknown,Unknown,1.0,,,,,
