YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2019,INOXINDIA,Inox India Ltd,650,144,506,,28,27,9,135,,193,213.05,,,
01-03-2020,INOXINDIA,Inox India Ltd,649,133,516,,48,26,12,144,,97,107.23,,,
01-03-2021,INOXINDIA,Inox India Ltd,594,135,459,,15,7,12,131,,96,105.89,,,
01-03-2022,INOXINDIA,Inox India Ltd,783,168,615,,21,2,12,174,,130,14.38,,,
01-03-2023,INOXINDIA,Inox India Ltd,966,205,761,,19,4,14,207,,155,17.05,,,
01-03-2024,INOXINDIA,Inox India Ltd,1133,252,882,,30,6,18,258,,196,21.59,,,
01-03-2025,INOXINDIA,Inox India Ltd,1306,285,1021,,48,9,25,299,,226,24.9,,,
01-03-2026,INOXINDIA,Inox India Ltd,1496,329,1167,,38,7,32,328,,248,27.34,,,
01-03-2017,IREDA,Indian Renewable Energy,1331,327,194,,-7,810,7,313,,210,267.74,,,
01-03-2018,IREDA,Indian Renewable Energy,1810,564,240,,7,1006,21,549,,405,5.17,,,
01-03-2019,IREDA,Indian Renewable Energy,2020,406,431,,-72,1183,23,311,,250,3.18,,,
01-03-2020,IREDA,Indian Renewable Energy,2369,260,649,,3,1459,23,241,,215,2.74,,,
01-03-2021,IREDA,Indian Renewable Energy,2614,548,496,,44,1570,23,570,,346,4.41,,,
01-03-2024,IREDA,Indian Renewable Energy,4965,1716,85,,-1,3164,30,1685,,1252,4.66,,,
01-03-2025,IREDA,Indian Renewable Energy,6755,2142,472,,0,4141,39,2104,,1698,6.32,,,
01-03-2026,IREDA,Indian Renewable Energy,8039,2357,914,,33,4768,42,2348,,1883,6.79,,,
01-03-2014,ITC,ITC Ltd,35306,13080,22227,,966,29,965,13052,,9001,7.45,,,
01-03-2015,ITC,ITC Ltd,38817,14252,24566,,1229,91,1028,14362,,9779,8.04,,,
01-03-2016,ITC,ITC Ltd,39192,14531,24661,,1483,78,1077,14859,,9501,7.74,,,
